[2026-03-03 12:26:45] debug: 	zh:ember:ezsp: ===> [FRAME: ID=52:"SEND_UNICAST" Seq=151 Len=30]
[2026-03-03 12:26:45] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=7 frmRx=3](ackRx=7)
[2026-03-03 12:26:45] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-03-03 12:26:45] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=0](ackRx=7 frmTx=0)
[2026-03-03 12:26:45] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=0 frmNum=3](frmRx=3) Added to rxQueue
[2026-03-03 12:26:45] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=4](ackRx=0)
[2026-03-03 12:26:45] debug: 	zh:ember:ezsp: <=== [FRAME: ID=52:"SEND_UNICAST" Seq=151 Len=7]
[2026-03-03 12:26:45] debug: 	zh:ember:ezsp: ~~~> [SENT type=DIRECT apsSequence=32 messageTag=45 status=OK]
[2026-03-03 12:26:45] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-03-03 12:26:45] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=0](ackRx=0 frmTx=0)
[2026-03-03 12:26:45] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=0 frmNum=4](frmRx=4) Added to rxQueue
